,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Year,Fatal Crashes,Drivers,Passengers,Unknown,Motorcyclists,Pedestrians,Pedalcyclists,Other/ Unknown,Total,Vehicle Miles Traveled (Billions),Resident Population (Thousands),Registered Vehicles (Millions),Licensed Drivers (Thousands),Seatbelt Use,Handheld Cellphone Use Rate,Visable Headset Cellphone Use Rate,Visable Manipulation of Handheld Device Rate,Restrain Use of Children Under 8 Rate,Distracted Driving Affected Crashes,Drunk Driving Fatalities
2018,33654.0,18250.0,5915.0,56.0,4985.0,6283.0,857.0,214.0,36560.0,3.21,327167.0,279.1,227500.0,89.6,3.2,0.4,2.1,90.4,4637.0,10511.0
2017,34560.0,18816.0,6237.0,74.0,5229.0,6075.0,806.0,236.0,37473.0,3.18,325147.0,270.4,225346.0,89.7,2.9,0.4,2.0,92.8,3166.0,10908.0
2016,34748.0,18717.0,6485.0,74.0,5337.0,6080.0,853.0,260.0,37806.0,3.11,323071.0,264.0,221712.0,90.1,3.3,0.5,2.1,90.9,3526.0,10967.0
2015,32538.0,17615.0,6213.0,71.0,5029.0,5494.0,829.0,233.0,35484.0,3.04,320743.0,257.9,218084.0,88.5,3.8,0.6,2.2,89.8,3477.0,10280.0
2014,30056.0,16470.0,5766.0,71.0,4594.0,4910.0,729.0,204.0,32744.0,2.98,318386.0,252.6,214092.0,86.7,4.3,0.4,2.2,90.9,3179.0,9943.0
2013,30202.0,16520.0,5896.0,67.0,4692.0,4779.0,749.0,190.0,32893.0,2.97,315993.0,255.8,212160.0,87.2,4.6,0.5,1.7,88.6,3154.0,10076.0
2012,31006.0,16838.0,6106.0,73.0,4986.0,4818.0,734.0,227.0,33782.0,2.96,313830.0,253.6,211815.0,86.1,5.2,0.6,1.5,91.5,3328.0,10322.0
2011,29867.0,16474.0,5972.0,64.0,4630.0,4457.0,682.0,200.0,32479.0,2.97,311556.0,253.1,211875.0,83.8,4.8,0.6,1.3,91.4,3331.0,9878.0
2010,30296.0,16864.0,6451.0,56.0,4518.0,4302.0,623.0,185.0,32999.0,2.95,309371.0,250.0,210115.0,85.1,4.9,0.9,0.9,88.9,3092.0,10228.0
2009,30862.0,17670.0,6793.0,63.0,4469.0,4109.0,628.0,151.0,33883.0,2.96,307007.0,254.2,209618.0,84.1,5.0,0.6,0.6,88.0,4898.0,10839.0
